# Train        Test        
  183.133963    73.518463 
  135.080183    66.779175 
  116.346198    62.923904 
  181.882543    56.962799 
  164.655045    50.332355 
  142.564470    60.454784 
  124.971252    54.847847 
  116.854069    55.202892 
  171.653805    48.208252 
  216.385961    52.927353 
  147.142733    72.966125 
  197.456781    71.640251 
  180.039378    78.689926 
  156.387009    74.523315 
  148.545177    65.300537 
  170.938375    72.537361 
  143.449022    68.172813 
  278.176367    55.212715 
  187.909487    53.690395 
  161.523516    64.956314 
  116.111486    43.504360 
  132.807484    50.112152 
  220.015959    40.631535 
  110.445804    61.989742 
  227.512077    69.619995 
  134.262165    57.787857 
  101.860950    51.016312 
  155.628218    52.863632 
  172.864007    49.018433 
  112.808170    54.183647 
  130.592361    53.225338 
  149.821492    44.749714 
  125.980816    44.986900 
  144.937659    57.619682 
  156.077136    57.739330 
  151.437264    47.171604 
  130.605369    40.591976 
  114.798599    29.409973 
  206.842802    32.053410 
  193.048349    35.481705 
  110.284925    38.654457 
  154.480625    31.871119 
  148.430151    38.116524 
  101.603483    42.385803 
  135.705690    51.932995 
  181.586195    42.383698 
  122.257407    39.260403 
  177.085454    45.043613 
   91.201387    39.742413 
  161.163347    40.375656 
  118.727136    38.994091 
  155.118631    47.906284 
  171.836434    38.304749 
  169.384593    30.276981 
  156.446085    31.768696 
  115.458087    39.379059 
  140.786588    50.323948 
  130.521314    51.840080 
  168.980619    44.577068 
  254.368216    44.810898 
  200.218396    36.097546 
  180.531014    59.587578 
  133.236376    51.101440 
  143.178938    56.683586 
  112.283832    56.994770 
  130.151842    45.369080 
  122.692877    73.817390 
  124.360201    83.857544 
   92.001403    78.025711 
  158.639203    61.080944 
  138.342717    36.448441 
   95.411266    47.512951 
  119.153092    45.258537 
  138.785396    38.516289 
  178.190307    37.786968 
  179.775187    42.173939 
  114.440503    38.512276 
   95.384859    39.181068 
  110.451684    44.999001 
  203.216448    42.981739 
  129.963869    45.235203 
  182.036428    51.642227 
  248.439136    41.413200 
   95.709734    34.097389 
  132.298241    40.181595 
  136.908979    45.546333 
  113.614936    47.730202 
  139.325432    40.952507 
  130.307546    36.452602 
   98.274324    30.867203 
  145.294241    32.787556 
  103.164163    48.291702 
  124.376926    50.832081 
  119.925104    49.351948 
  149.221954    44.619511 
   79.723993    46.263119 
  151.764270    44.770378 
  140.045172    40.416996 
  203.862604    36.392178 
  135.187727    39.106136 
  158.283015    42.009529 
  168.175573    44.660736 
  130.744739    42.388519 
  144.982079    35.560055 
   90.704361    32.723915 
  140.693075    40.728077 
  171.512674    29.239824 
  198.115700    30.765455 
   98.922016    45.991837 
  214.655562    51.299362 
  160.079337    46.528069 
   94.388783    35.817688 
  147.155601    29.822832 
  105.122696    38.592148 
  201.874220    34.227612 
  144.878482    36.007545 
  160.687710    30.016190 
  160.184672    39.091953 
   99.341258    47.642307 
  162.808175    33.968460 
  212.680815    31.364017 
  122.566195    39.991096 
  154.125572    44.866379 
  188.664525    40.869274 
  129.834380    31.571318 
  124.302259    35.373169 
  118.896062    36.529972 
  115.947350    45.476089 
  189.629549    47.891140 
  126.020338    38.325863 
  178.376949    45.019932 
  213.936002    39.946865 
  125.162629    40.458221 
  158.388702    42.228165 
  138.972391    48.966286 
  232.629193    44.484184 
  225.978083    39.959427 
  130.018142    36.179008 
  207.166541    39.283588 
  211.065596    38.957409 
  174.723909    42.767040 
  108.954527    47.032917 
  103.665914    54.326820 
  114.631332    43.918148 
  143.010183    37.970085 
  127.779478    42.890831 
  125.075382    44.652119 
  116.165497    52.801552 
  148.650935    46.571808 
  122.757460    45.445827 
   98.628070    48.502350 
   95.934691    41.144855 
  104.924682    29.539087 
  233.557478    42.848877 
  172.049592    43.279736 
  126.840903    39.033371 
  214.671662    42.292553 
  123.422413    34.569580 
  166.199105    35.511559 
  103.504057    36.747910 
  152.802629    34.972366 
  125.275402    36.584991 
   84.208287    40.836136 
  135.367604    48.139786 
  133.551880    42.954979 
  122.217109    36.057968 
  105.070167    31.342646 
  138.435051    31.961288 
